case,id,arm,invented
1,httpie-4,v3plain_fix_v2,n
2,PySnooper-1,v3plain_fix_v2,y
3,cookiecutter-1,v3plain_fix_v2,y
4,fastapi-6,v3plain_fix_v2,n
5,keras-12,v3plain_fix_v2,y
6,tornado-8,v3plain_fix_v2,n
7,tornado-15,v3plain_fix_v2,y
8,keras-28,v3plain_fix_v2,n
9,pandas-92,v3plain_fix_v2,n
10,keras-13,score_fix_v2,y
11,pandas-131,score_fix_v2,y
12,matplotlib-6,score_fix_v2,y
13,pandas-36,score_fix_v2,y
14,httpie-4,score_fix_v2,y
15,youtube-dl-12,score_fix_v2,y
16,pandas-11,score_fix_v2,y
17,keras-35,score_fix_v2,y
18,pandas-169,score_fix_v2,y
19,tqdm-1,score_fix_v2,y
20,httpie-3,score_fix_v2,y
21,youtube-dl-40,score_fix_v2,y
22,pandas-10,score_fix_v2,y
23,pandas-38,score_fix_v2,y
24,matplotlib-12,score_fix_v2,y
25,black-21,score_fix_v2,y
26,scrapy-29,score_fix_v2,y
27,black-17,score_fix_v2,y
28,luigi-25,score_fix_v2,y
29,pandas-123,score_fix_v2,y
30,keras-36,score_fix_v2,y
31,pandas-21,score_fix_v2,y
32,sanic-2,score_fix_v2,y
33,pandas-114,score_fix_v2,y
34,youtube-dl-5,score_fix_v2,y
35,black-16,diff_fix_v2,y
36,tqdm-6,diff_fix_v2,y
37,black-23,diff_fix_v2,y
38,fastapi-9,diff_fix_v2,y
39,pandas-10,diff_fix_v2,y
40,pandas-138,diff_fix_v2,y
41,pandas-74,diff_fix_v2,y
42,pandas-77,diff_fix_v2,y
43,scrapy-6,diff_fix_v2,y
44,pandas-135,diff_fix_v2,n
45,pandas-163,diff_fix_v2,y
46,pandas-75,diff_fix_v2,y
47,pandas-106,diff_fix_v2,y
48,pandas-31,diff_fix_v2,y
49,pandas-11,diff_fix_v2,y
50,tornado-13,diff_fix_v2,y
51,youtube-dl-39,diff_fix_v2,y
52,luigi-1,diff_fix_v2,y
53,keras-12,diff_fix_v2,y
54,tqdm-5,diff_fix_v2,y
55,luigi-26,diff_fix_v2,y
56,youtube-dl-16,diff_fix_v2,y
57,pandas-27,diff_fix_v2,y
58,pandas-37,diff_fix_v2,y
59,pandas-7,diff_fix_v2,y
