id,grounded,invented,direction,edit_ok
pandas-157,y,n,y,y
pandas-161,y,n,y,n
scrapy-7,n,y,y,y
luigi-25,y,n,y,y
thefuck-4,y,n,y,y
tornado-1,y,n,y,y
youtube-dl-7,y,n,y,n
scrapy-10,y,n,y,y
youtube-dl-35,y,n,y,n
scrapy-23,y,n,y,y
pandas-130,y,n,y,y
matplotlib-11,y,n,y,n
pandas-88,y,n,y,y
youtube-dl-15,y,n,y,y
httpie-5,y,n,y,y
pandas-60,y,n,y,y
luigi-23,y,n,y,y
thefuck-2,y,n,y,y
matplotlib-27,n,y,n,y
pandas-167,y,n,y,n
black-23,y,n,,n
fastapi-12,y,n,n,n
pandas-147,y,n,n,n
matplotlib-28,y,n,y,y
pandas-45,y,n,n,n
pandas-112,y,n,y,y
luigi-2,y,n,y,y
scrapy-22,y,n,y,y
scrapy-1,y,n,y,n
youtube-dl-18,y,n,y,y
matplotlib-3,y,n,y,y
thefuck-9,y,n,y,n
thefuck-29,n,y,n,n
ansible-5,y,n,y,y
keras-11,y,n,y,y
pandas-114,y,n,y,y
pandas-38,y,n,y,n
luigi-15,y,n,n,n
pandas-140,y,n,y,n
matplotlib-24,y,n,y,y
ansible-11,y,n,y,n
spacy-5,y,n,y,y
httpie-2,y,n,y,n
pandas-33,y,n,y,y
matplotlib-2,y,n,y,y
fastapi-16,y,n,y,y
pandas-35,y,n,y,y
ansible-6,y,n,y,y
pandas-40,y,n,y,n
pandas-54,y,n,n,n
