id,grounded,invented,direction
matplotlib-3,y,n,y
spacy-5,y,n,y
ansible-11,y,n,y
pandas-38,y,n,y
pandas-60,y,n,y
keras-11,y,n,y
pandas-147,y,y,n
pandas-157,y,n,y
pandas-130,y,n,y
scrapy-7,n,y,y
pandas-112,y,n,y
luigi-2,y,n,y
pandas-167,y,n,n
httpie-2,n,y,n
thefuck-9,y,n,y
pandas-40,y,n,y
matplotlib-27,n,n,n
scrapy-1,y,n,y
ansible-6,y,n,y
thefuck-4,y,n,y
black-23,y,n,n
thefuck-29,n,n,n
pandas-54,y,n,n
pandas-35,y,n,y
scrapy-10,y,n,y
youtube-dl-18,y,n,y
matplotlib-2,y,n,y
scrapy-22,y,n,y
fastapi-12,y,n,n
thefuck-2,y,n,y
pandas-45,y,n,n
pandas-33,y,n,y
scrapy-23,y,n,y
matplotlib-24,y,n,y
youtube-dl-35,y,n,y
luigi-25,y,n,y
ansible-5,y,n,y
pandas-161,y,n,y
luigi-23,y,n,y
luigi-15,y,n,n
tornado-1,y,n,y
pandas-88,y,n,y
pandas-140,y,n,y
pandas-114,y,n,y
httpie-5,y,n,y
youtube-dl-15,y,n,y
matplotlib-28,y,n,n
matplotlib-11,y,n,y
fastapi-16,y,n,y
youtube-dl-7,y,n,y
